Issues	Relationship	Link Issues
HADOOP-8562	incorporates	HADOOP-9687
HADOOP-8562	incorporates	HADOOP-9759
HADOOP-8562	incorporates	HADOOP-8948
HADOOP-8562	incorporates	HADOOP-8957
HADOOP-8562	incorporates	HADOOP-8958
HADOOP-8562	incorporates	HADOOP-8973
HADOOP-8562	incorporates	HADOOP-8981
HADOOP-8562	incorporates	HADOOP-8982
HADOOP-8562	incorporates	HADOOP-9043
HADOOP-8562	incorporates	HADOOP-9131
HADOOP-8562	incorporates	HADOOP-9264
HADOOP-8562	incorporates	HADOOP-9278
HADOOP-8562	incorporates	HADOOP-9290
HADOOP-8562	incorporates	HADOOP-9294
HADOOP-8562	incorporates	HADOOP-9364
HADOOP-8562	incorporates	HADOOP-9365
HADOOP-8562	incorporates	HADOOP-9372
HADOOP-8562	incorporates	HADOOP-9437
HADOOP-8562	incorporates	HADOOP-9443
HADOOP-8562	incorporates	HADOOP-9488
HADOOP-8562	incorporates	HADOOP-9500
HADOOP-8562	incorporates	HADOOP-9524
HADOOP-8562	incorporates	HADOOP-9526
HADOOP-8562	incorporates	HADOOP-9527
HADOOP-8562	incorporates	HADOOP-9553
HADOOP-8562	incorporates	HADOOP-10030
HADOOP-8562	incorporates	HADOOP-9656
HADOOP-8562	incorporates	HADOOP-9681
HADOOP-8562	incorporates	HADOOP-9422
HADOOP-8562	incorporates	HADOOP-9018
HADOOP-8562	incorporates	HADOOP-9056
HADOOP-8562	incorporates	HADOOP-9081
HADOOP-8562	incorporates	HADOOP-9347
HADOOP-8562	incorporates	HADOOP-9356
HADOOP-8562	incorporates	HDFS-3602
HADOOP-8562	incorporates	MAPREDUCE-4401
HADOOP-8562	incorporates	YARN-191
HADOOP-8562	incorporates	HADOOP-9348
HADOOP-8562	incorporates	HADOOP-9354
HADOOP-8562	incorporates	HADOOP-9483
HADOOP-8562	incorporates	HDFS-4554
HADOOP-8562	incorporates	HADOOP-8945
HADOOP-8562	incorporates	HADOOP-8946
HADOOP-8562	incorporates	HADOOP-8947
HADOOP-8562	incorporates	HADOOP-8949
HADOOP-8544	is part of	HADOOP-8079
HADOOP-8540	is part of	HADOOP-8645
HADOOP-8536	is part of	HADOOP-8645
HADOOP-8534	is part of	HADOOP-8079
HADOOP-8517	incorporates	HADOOP-8983
HADOOP-8517	is part of	HADOOP-8645
HADOOP-8516	is part of	HADOOP-8645
HADOOP-8493	is part of	HADOOP-8645
HADOOP-8487	is part of	HADOOP-8645
HADOOP-8486	is part of	HADOOP-8079
HADOOP-8470	incorporates	HDFS-3500
HADOOP-8469	incorporates	HDFS-3499
HADOOP-8468	incorporates	HDFS-4240
HADOOP-8468	incorporates	YARN-18
HADOOP-8468	incorporates	YARN-19
HADOOP-8468	incorporates	HDFS-3495
HADOOP-8468	incorporates	HDFS-3601
HADOOP-8468	incorporates	HDFS-3498
HADOOP-8457	is part of	HADOOP-8645
HADOOP-8456	is part of	HADOOP-8645
HADOOP-8455	is part of	HADOOP-8645
HADOOP-8454	is part of	HADOOP-8079
HADOOP-8453	is part of	HADOOP-8645
HADOOP-8440	is part of	HADOOP-8079
HADOOP-8424	is part of	HADOOP-8079
HADOOP-8421	is part of	HADOOP-8079
HADOOP-8420	is part of	HADOOP-8645
HADOOP-8414	is part of	HADOOP-8079
HADOOP-8412	is part of	HADOOP-8079
HADOOP-8411	is part of	HADOOP-8079
HADOOP-8409	is part of	HADOOP-8079
HADOOP-8393	incorporates	MAPREDUCE-4250
HADOOP-8374	is part of	HADOOP-8079
HADOOP-8367	is part of	HADOOP-7347
HADOOP-8366	is part of	HADOOP-7347
HADOOP-8364	incorporates	HADOOP-8307
HADOOP-8364	incorporates	HDFS-3316
HADOOP-8353	incorporates	HADOOP-8656
HADOOP-8340	incorporates	HDFS-3341
HADOOP-8307	is part of	HADOOP-8364
HADOOP-8285	is part of	HADOOP-7347
HADOOP-8279	is part of	HDFS-3042
HADOOP-8240	is part of	HADOOP-8060
HADOOP-8239	is part of	HADOOP-8060
HADOOP-8212	is part of	HDFS-3042
HADOOP-8206	is part of	HDFS-3042
HADOOP-8198	incorporates	HDFS-3140
HADOOP-8198	incorporates	MAPREDUCE-4168
HADOOP-8184	is part of	HADOOP-7347
HADOOP-8124	incorporates	HDFS-3034
HADOOP-8124	incorporates	MAPREDUCE-3956
HADOOP-8101	is part of	HADOOP-8079
HADOOP-8079	incorporates	HADOOP-8374
HADOOP-8079	incorporates	HADOOP-8409
HADOOP-8079	incorporates	HADOOP-8411
HADOOP-8079	incorporates	HADOOP-8412
HADOOP-8079	incorporates	HADOOP-8414
HADOOP-8079	incorporates	HADOOP-8421
HADOOP-8079	incorporates	HADOOP-8424
HADOOP-8079	incorporates	HADOOP-8486
HADOOP-8079	incorporates	HADOOP-8534
HADOOP-8079	incorporates	HDFS-3424
HADOOP-8079	incorporates	MAPREDUCE-4201
HADOOP-8079	incorporates	MAPREDUCE-4263
HADOOP-8079	incorporates	MAPREDUCE-4321
HADOOP-8079	incorporates	MAPREDUCE-4368
HADOOP-8079	incorporates	MAPREDUCE-4369
HADOOP-8079	incorporates	HADOOP-8454
HADOOP-8079	incorporates	HADOOP-8544
HADOOP-8079	incorporates	HADOOP-8440
HADOOP-8079	incorporates	HADOOP-8101
HADOOP-8079	incorporates	MAPREDUCE-3898
HADOOP-8079	incorporates	MAPREDUCE-4203
HADOOP-8079	incorporates	MAPREDUCE-4260
HADOOP-8079	incorporates	HADOOP-8645
HADOOP-8060	incorporates	HDFS-3176
HADOOP-8060	incorporates	HDFS-3177
HADOOP-8060	incorporates	HADOOP-8239
HADOOP-8060	incorporates	HADOOP-8240
HADOOP-7992	is part of	HDFS-2185
HADOOP-3594	is part of	HADOOP-3586
HADOOP-3586	incorporates	HADOOP-3594
HADOOP-3584	is part of	HADOOP-3582
HADOOP-3583	is part of	HADOOP-3582
HADOOP-3582	incorporates	HADOOP-2366
HADOOP-3582	incorporates	HADOOP-3583
HADOOP-3582	incorporates	HADOOP-3579
HADOOP-3582	incorporates	HADOOP-3584
HADOOP-3582	incorporates	HADOOP-24
HADOOP-3581	is part of	HADOOP-3444
HADOOP-3579	is part of	HADOOP-3582
HADOOP-3536	incorporates	HADOOP-3765
HADOOP-3536	incorporates	HADOOP-3766
HADOOP-3479	is part of	HADOOP-3444
HADOOP-3470	incorporates	HADOOP-4838
HADOOP-3457	is part of	HADOOP-6221
HADOOP-3455	incorporates	HADOOP-3453
HADOOP-3453	is part of	HADOOP-3455
HADOOP-3445	is part of	HADOOP-3444
HADOOP-3444	incorporates	HADOOP-4035
HADOOP-3444	incorporates	MAPREDUCE-534
HADOOP-3444	incorporates	HADOOP-3245
HADOOP-3444	incorporates	HADOOP-3445
HADOOP-3444	incorporates	HADOOP-3479
HADOOP-3444	incorporates	HADOOP-3698
HADOOP-3444	incorporates	HADOOP-3699
HADOOP-3444	incorporates	HADOOP-3581
HADOOP-3444	incorporates	HADOOP-3759
HADOOP-3444	incorporates	HADOOP-3930
HADOOP-3441	is part of	HADOOP-657
HADOOP-3436	is part of	HADOOP-3412
HADOOP-3426	incorporates	HADOOP-5339
HADOOP-3415	is part of	HDFS-326
HADOOP-3412	incorporates	MAPREDUCE-224
HADOOP-3412	incorporates	HADOOP-3436
HADOOP-3370	incorporates	HADOOP-3713
HADOOP-3344	is part of	HADOOP-2318
HADOOP-3296	incorporates	HADOOP-3244
HADOOP-3289	is part of	MAPREDUCE-310
HADOOP-3258	is part of	HADOOP-3149
HADOOP-3257	incorporates	HDFS-13
HADOOP-3257	incorporates	HADOOP-14235
HADOOP-3248	is part of	HADOOP-3022
HADOOP-3245	is part of	HADOOP-3444
HADOOP-3244	is part of	HADOOP-3296
HADOOP-3214	is part of	HADOOP-3135
HADOOP-3149	incorporates	HADOOP-3258
HADOOP-3135	incorporates	HADOOP-3214
HADOOP-3124	incorporates	HADOOP-3051
HADOOP-3109	is part of	HADOOP-2910
HADOOP-3069	is part of	HADOOP-2585
HADOOP-3062	incorporates	HADOOP-3658
HADOOP-3051	is part of	HADOOP-3124
HADOOP-3022	incorporates	HADOOP-3248
HADOOP-2987	is part of	HADOOP-2585
HADOOP-2975	is part of	HADOOP-2864
HADOOP-2919	incorporates	HADOOP-872
HADOOP-2919	incorporates	HADOOP-287
HADOOP-2919	incorporates	HADOOP-1609
HADOOP-2919	incorporates	HADOOP-2054
HADOOP-2910	incorporates	HADOOP-3109
HADOOP-2910	is part of	HADOOP-2864
HADOOP-2909	is part of	HADOOP-2864
HADOOP-2864	incorporates	HADOOP-2909
HADOOP-2864	incorporates	HADOOP-2975
HADOOP-2864	incorporates	HADOOP-2188
HADOOP-2864	incorporates	HADOOP-2910
HADOOP-2807	is part of	HADOOP-2725
HADOOP-2725	incorporates	HADOOP-2807
HADOOP-2664	incorporates	HADOOP-1694
HADOOP-2661	is part of	HDFS-258
HADOOP-2585	incorporates	HADOOP-3069
HADOOP-2585	incorporates	HADOOP-2987
HADOOP-2512	incorporates	HADOOP-2420
HADOOP-2420	is part of	HADOOP-2512
HADOOP-2366	is part of	HADOOP-3582
HADOOP-2318	incorporates	HADOOP-3344
HADOOP-2247	incorporates	HADOOP-2220
HADOOP-2227	incorporates	HADOOP-2115
HADOOP-2220	is part of	HADOOP-2247
HADOOP-2206	incorporates	HADOOP-53
HADOOP-2188	is part of	HADOOP-2864
HADOOP-2115	is part of	HADOOP-2227
HADOOP-2096	is part of	HADOOP-1921
HADOOP-2054	is part of	HADOOP-2919
HADOOP-2052	is part of	HADOOP-2048
HADOOP-2048	incorporates	HADOOP-2052
HADOOP-1921	incorporates	HADOOP-2096
HADOOP-1782	is part of	HADOOP-1298
HADOOP-1766	is part of	HADOOP-1687
HADOOP-1759	is part of	HADOOP-1687
HADOOP-1743	is part of	HADOOP-1687
