Issues	Relationship	Link Issues
HADOOP-17199	is related to	HADOOP-17228
HADOOP-17198	is related to	HADOOP-17951
HADOOP-17198	is related to	HADOOP-18085
HADOOP-17198	is related to	HADOOP-18234
HADOOP-17196	is a child of	HADOOP-17193
HADOOP-17196	is related to	HDFS-14394
HADOOP-17195	is related to	HADOOP-17937
HADOOP-17193	is blocked by	HADOOP-17399
HADOOP-17186	is broken by	HADOOP-17131
HADOOP-17186	is duplicated by	HADOOP-17427
HADOOP-17178	is a child of	HADOOP-17177
HADOOP-17177	is related to	SPARK-33772
HADOOP-17171	is related to	HDFS-15333
HADOOP-17168	is cloned by	HDDS-4050
HADOOP-17168	is related to	SPARK-32333
HADOOP-17167	is caused by	HADOOP-16794
HADOOP-17166	is related to	HADOOP-17195
HADOOP-17165	is related to	HADOOP-15016
HADOOP-17165	is related to	HADOOP-17280
HADOOP-17158	is duplicated by	HADOOP-17160
HADOOP-17153	is caused by	HDFS-15385
HADOOP-17152	is depended upon by	HADOOP-17409
HADOOP-17152	is required by	HADOOP-17114
HADOOP-17147	is broken by	HADOOP-13990
HADOOP-17142	is related to	HDFS-15485
HADOOP-17141	is related to	HIVE-23870
HADOOP-17139	is related to	SPARK-38652
HADOOP-17138	is caused by	HADOOP-16866
HADOOP-17136	is caused by	HADOOP-17022
HADOOP-17134	is caused by	HADOOP-16465
HADOOP-17126	is required by	HADOOP-17110
HADOOP-17126	is required by	HADOOP-17123
HADOOP-17125	is related to	HADOOP-17292
HADOOP-17125	is related to	HADOOP-17464
HADOOP-17123	is blocked by	HADOOP-17960
HADOOP-17123	is required by	HADOOP-17110
HADOOP-17122	is related to	MAPREDUCE-7287
HADOOP-17120	is duplicated by	HADOOP-17522
HADOOP-17120	is related to	HADOOP-17246
HADOOP-17120	is related to	HADOOP-18049
HADOOP-17119	is broken by	HADOOP-16152
HADOOP-17116	is depended upon by	HDDS-4405
HADOOP-17111	is related to	HADOOP-17319
HADOOP-17106	is required by	HADOOP-17108
HADOOP-17105	is caused by	HADOOP-16458
HADOOP-17101	is related to	HADOOP-17319
HADOOP-17100	is required by	HADOOP-17103
HADOOP-17099	is related to	HADOOP-17319
HADOOP-17096	is caused by	HADOOP-13578
HADOOP-17096	is duplicated by	HADOOP-17219
HADOOP-17096	is related to	HDFS-14099
HADOOP-17095	is related to	HADOOP-12940
HADOOP-17095	is related to	HADOOP-14354
HADOOP-17095	is related to	HDFS-11696
HADOOP-17092	is related to	HADOOP-17377
HADOOP-17091	is broken by	HADOOP-16596
HADOOP-17091	is broken by	HADOOP-16888
HADOOP-17091	is related to	HADOOP-16862
HADOOP-17091	is related to	HADOOP-17179
HADOOP-17091	is related to	HADOOP-17394
HADOOP-17091	is related to	HADOOP-17297
HADOOP-17090	is related to	HADOOP-17756
HADOOP-17081	is related to	HADOOP-17468
HADOOP-17079	is related to	HADOOP-13442
HADOOP-17077	is related to	HADOOP-17050
HADOOP-17077	is related to	HDFS-15435
HADOOP-17077	is related to	HDFS-15433
HADOOP-17074	is related to	HADOOP-17335
HADOOP-17070	is duplicated by	HADOOP-16255
HADOOP-17063	is related to	HADOOP-17201
HADOOP-17063	is related to	HADOOP-17935
HADOOP-17060	is related to	HADOOP-17029
HADOOP-17059	is related to	HADOOP-15167
HADOOP-17046	is related to	HDDS-3678
HADOOP-17038	is related to	HADOOP-16202
HADOOP-17036	is broken by	HDFS-1820
HADOOP-17032	is duplicated by	HDFS-15426
HADOOP-17030	is cloned by	HDDS-3543
HADOOP-17029	is related to	HDFS-15418
HADOOP-17018	is broken by	HADOOP-16910
HADOOP-17017	is duplicated by	HADOOP-17412
HADOOP-17015	is related to	HADOOP-17132
HADOOP-17008	is depended upon by	TEZ-4150
HADOOP-17008	is depended upon by	HDDS-3292
HADOOP-17008	is depended upon by	HBASE-22953
HADOOP-17007	is broken by	HADOOP-16959
HADOOP-17003	is blocked by	HADOOP-16206
