HADOOP-18178,is duplicated by,HADOOP-18212
HADOOP-18178,relates to,HADOOP-18033
HADOOP-18176,duplicates,HADOOP-18180
SPARK-38652,relates to,HADOOP-17139
SPARK-38652,relates to,HADOOP-18173
HADOOP-18173,is related to,SPARK-38652
SOLR-16116,is blocked by,HADOOP-17612
HADOOP-18170,blocks,YARN-11096
YARN-11096,is blocked by,HADOOP-18170
HADOOP-18168,is caused by,HADOOP-17784
HADOOP-18168,relates to,HADOOP-18194
HDFS-16517,is related to,HADOOP-16161
HADOOP-18167,breaks,HADOOP-18222
HADOOP-18167,causes,YARN-11122
HADOOP-18167,causes,YARN-11138
HADOOP-18167,causes,YARN-11130
HADOOP-18167,causes,YARN-11123
HADOOP-18164,depends upon,HADOOP-18203
HADOOP-18164,is related to,HADOOP-12760
YARN-11092,causes,YARN-11193
YARN-11092,is depended upon by,HADOOP-18305
HADOOP-18163,contains,HADOOP-16204
HADOOP-18163,contains,HADOOP-17976
HADOOP-18163,is part of,MAPREDUCE-7341
HADOOP-18163,is related to,HADOOP-18425
HADOOP-18162,is part of,MAPREDUCE-7341
HADOOP-18162,relates to,HADOOP-17833
HADOOP-18160,duplicates,HADOOP-18331
HADOOP-18160,is depended upon by,HADOOP-18198
HADOOP-18160,is related to,SPARK-38330
HADOOP-18159,is related to,HADOOP-18307
HDFS-16507,is depended upon by,HADOOP-18198
YARN-11085,relates to,HADOOP-16206
HDFS-16501,is depended upon by,HADOOP-18198
HADOOP-18158,is related to,HADOOP-16748
HADOOP-18158,is related to,HADOOP-14671
HADOOP-18158,relates to,HADOOP-18276
HADOOP-18157,duplicates,HADOOP-18019
PARQUET-2134,relates to,PARQUET-2151
PARQUET-2134,relates to,HADOOP-18336
HADOOP-18155,is depended upon by,HADOOP-18198
HADOOP-18154,is duplicated by,HADOOP-18349
HADOOP-18150,relates to,HADOOP-18091
HADOOP-18147,duplicates,HADOOP-18075
SPARK-38330,relates to,HADOOP-18160
HADOOP-18143,is broken by,HADOOP-18082
HADOOP-18143,is caused by,HADOOP-17046
HADOOP-18140,is duplicated by,HADOOP-16549
HADOOP-18140,relates to,HADOOP-12817
HADOOP-18140,relates to,HADOOP-16000
HADOOP-18137,duplicates,HADOOP-18136
HADOOP-18136,is duplicated by,HADOOP-18137
HADOOP-18135,is blocked by,HADOOP-18134
HADOOP-18134,blocks,HADOOP-18135
HADOOP-18134,is blocked by,HADOOP-18133
HADOOP-18133,blocks,HADOOP-18134
HADOOP-18133,is blocked by,HADOOP-17193
HDFS-16474,is a child of,HADOOP-17193
HDFS-16473,is a child of,HADOOP-17193
HDFS-16472,is a child of,HADOOP-17193
HDFS-16471,is a child of,HADOOP-17193
HDFS-16470,is a child of,HADOOP-17193
YARN-11078,is a child of,HADOOP-17193
HDFS-16469,is a child of,HADOOP-17193
HDFS-16468,is a child of,HADOOP-17193
HDFS-16467,is a child of,HADOOP-17193
HDFS-16466,is a child of,HADOOP-17193
HDFS-16465,is a child of,HADOOP-17193
HDFS-16464,is a child of,HADOOP-17193
HDFS-16463,is a child of,HADOOP-17193
HDFS-16462,is a child of,HADOOP-17193
HADOOP-18129,is related to,HDFS-15289
HADOOP-18126,relates to,HADOOP-14693
HADOOP-18125,is depended upon by,HADOOP-18198
YARN-11075,is depended upon by,HADOOP-18198
HDFS-16453,is depended upon by,HADOOP-18305
HDFS-16453,is duplicated by,HADOOP-18069
HDFS-16453,relates to,HBASE-27292
HADOOP-18117,fixes,HADOOP-15211
HADOOP-18116,duplicates,HADOOP-17402
HADOOP-18113,is related to,HADOOP-18112
HADOOP-18112,relates to,HADOOP-18113
HADOOP-18109,is depended upon by,HADOOP-18198
HADOOP-18109,is related to,HADOOP-16582
HADOOP-18109,is related to,HDFS-10650
HADOOP-18103,causes,HADOOP-18322
HADOOP-18103,is related to,HADOOP-18287
HADOOP-18099,relates to,HADOOP-16439
HDFS-16445,is a child of,HADOOP-17193
HADOOP-18096,is broken by,HDFS-14869
YARN-11068,relates to,HADOOP-17593
